charge,iter,particle,x,y,z,vx,vy,vz,fx,fy,fz
-1.0,0,13,31.611038294794877,31.589006216510096,23.675474494037626,-0.0001228962776391786,-0.00026749397581644083,-1.9541769765000884e-06,-0.0009815188385406959,0.003591656642630425,0.0008711508453175731
1.0,0,14,35.68540125336107,27.59354919628366,19.680213666005006,-0.0004163282292735079,-1.4630811584332242e-05,-0.00024071337198889676,0.00013102467467662748,-5.02355198462312e-05,0.0013784800813315956
-1.0,0,15,0.08345994953093018,31.640844608668306,23.608219234119638,-0.0001667747449742129,0.00023848451320667964,-0.00019028647696277552,0.00146921134929702,0.0018745493813915881,0.001549786365642617
1.0,0,16,4.0192609249468685,27.540233255041635,19.815744430557913,0.00015942470688489358,-0.000172759110131922,0.0003043522860288961,0.0011633600965552174,-0.0011816758770653683,0.00018648611024225242
-1.0,0,17,7.846253659299149,31.547628381437754,23.7489226681324,-0.0006745334894933897,0.00018810240794461382,0.0004129748191809803,-0.0017559966539837865,0.00032539282348418436,0.002658444514445635
1.0,0,18,11.955686994455228,27.533043063665488,19.589494495433676,6.125437273672893e-05,0.0001241510088174053,-0.0003835153086482145,-0.00024389491086934667,0.002119056632296709,-0.0017513437441507573
-1.0,0,19,15.924539704361639,31.70800029891628,23.5157388020461,-0.00037677978423172664,9.414023215150508e-05,-0.00012104176424046283,0.000996509263634121,-0.0013733511474910837,0.0003175557551177502
1.0,0,20,19.905717925561575,35.50972464748085,19.894322937773605,0.0005238593160765152,-0.00018307149047031772,-0.0001871672282707968,-0.002829823558078204,-0.003682208385276633,0.0004407855171081887
-1.0,0,21,23.761164900656,0.084891734521059,23.833314889749868,-0.0005510273131682932,-6.941034862756528e-05,0.00027937713617549826,0.00029056725418513327,-0.0016161830969879144,0.0003196145933068509
1.0,0,22,27.806453878121566,35.683997816277284,19.851876426065658,-8.129133781568385e-05,-0.00043898643477585533,-0.0007642809994091015,0.0029308732771863508,0.000954961301848585,0.001043689947479845
-1.0,0,23,31.525189964415052,39.428088911880074,23.730072775032948,1.8768611852127298e-07,0.00033789310386022763,0.00015542998115122733,-0.000592572779743266,-0.0007423546423006577,0.0009143666327137701
